title,description,level,stars,score
"□ Cảnh quan môi trường sạch đẹp, kiến trúc mang đặc trưng vùng miền, có tính dân tộc; xã/thôn đạt tiêu chí sáng - xanh - sạch đẹp trong xây dựng nông thôn mới",,3,,3
8. CHẤT LƯỢNG VỀ ĐIỀU KIỆN KINH DOANH DỊCH VỤ,Lựa chọn một trong hai trường hợp sau:,1,,3
a. Trường hợp 1: Cộng đồng dịch vụ du lịch,,2,,3
"□ Dưới 50% cơ sở dịch vụ được cấp chứng nhận đủ điều kiện kinh doanh theo quy định (dịch vụ lưu trú, vận chuyển,...)",,3,,1
"□ Có từ 50% đến dưới 75% cơ sở dịch vụ được chứng nhận đủ điều kiện kinh doanh theo quy định (dịch vụ lưu trú, vận chuyển, ...)",,3,,2
"□ Có trên 75% cơ sở dịch vụ được cấp chứng nhận đủ điều kiện kinh doanh theo quy định (dịch vụ lưu trú, vận chuyển,...)",,3,,3
b. Trường hợp 2: Điểm dịch vụ du lịch,,2,,3
□ Có đăng ký kinh doanh dịch vụ du lịch,,3,,1
□ Có đăng ký kinh doanh và đáp ứng đủ điều kiện kinh doanh,,3,,2
"□ Có đăng ký kinh doanh, đáp ứng đủ điều kiện kinh doanh và được công nhận cơ sở kinh doanh dịch vụ du lịch đạt tiêu chuẩn phục vụ khách du lịch",,3,,3
9. CHẤT LƯỢNG AN TOÀN VÀ AN NINH TRẬT TỰ,Lựa chọn một trong hai trường hợp sau:,1,,2
a. Trường hợp 1: Cộng đồng dịch vụ du lịch,,2,,2
"□ Có ít nhất 75% số cơ sở kinh doanh dịch vụ đáp ứng điều kiện về an ninh, trật tự, an toàn về phòng cháy và chữa cháy, bảo vệ môi trường, an toàn thực phẩm theo quy định của pháp luật",,3,,1
"□ Có 100% số cơ sở kinh doanh dịch vụ đáp ứng điều kiện về an ninh, trật tự, an toàn về phòng cháy và chữa cháy, bảo vệ môi trường, an toàn thực phẩm theo quy định của pháp luật",,3,,2
b. Trường hợp 2: Điểm dịch vụ du lịch,,2,,2
"□ Đáp ứng điều kiện về an ninh, trật tự, an toàn về phòng cháy và chữa cháy, bảo vệ môi trường, an toàn thực phẩm theo quy định của pháp luật",,3,,1
"□ Đáp ứng điều kiện về an ninh, trật tự, an toàn về phòng cháy và chữa cháy, bảo vệ môi trường, an toàn thực phẩm theo quy định của pháp luật và có thực hiện hướng dẫn, tập huấn thường xuyên/định kỳ cho nhân viên",,3,,2
10. TÍNH HOÀN THIỆN CỦA QUÁ TRÌNH DỊCH VỤ,,1,,3
"□ Có điểm trưng bày, giới thiệu và bán sản phẩm truyền thống địa phương",,3,,1
"□ Có điểm trưng bày, giới thiệu và bán sản phẩm truyền thống và sản phẩm OCOP của địa phương, có tài liệu giới thiệu về sản phẩm, dịch vụ.",,3,,2
"□ Có điểm trưng bày, giới thiệu và bán sản phẩm truyền thống và sản phẩm OCOP của địa phương, có tài liệu giới thiệu về sản phẩm, dịch vụ, địa điểm bán có hạ tầng (bãi đỗ, nhà vệ sinh, khu giới thiệu về dịch vụ) được bố trí hài hòa.",,3,,3
11. HOẠT ĐỘNG TRẢI NGHIỆM,,1,,2
□ Có hoạt động trải nghiệm,,3,,1
□ Có mô hình hoạt động trải nghiệm,,3,,2
12. QUẢN LÝ VÀ NHÂN VIÊN,,1,,3
"□ Có dưới 50% lao động tham gia quản lý và nhân viên đã được đào tạo về chuyên môn, nghiệp vụ",,3,,1
"□ Có từ 50 - 75% lao động tham gia quản lý và nhân viên đã qua đào tạo về chuyên môn, nghiệp vụ",,3,,2
"□ Trên 75% lao động tham gia quản lý và nhân viên đã qua đào tạo về chuyên môn, nghiệp vụ; có nhân viên tiếp đón thành thạo ít nhất 1 ngoại ngữ",,3,,3
13. CHẤT LƯỢNG SẢN PHẨM DỊCH VỤ DU LỊCH,,1,,4
"□ Sản phẩm dịch vụ du lịch phong phú, hấp dẫn",,3,,1
"□ Sản phẩm dịch vụ du lịch phong phú, hấp dẫn, an toàn, chất lượng cao",,3,,2
"□ Sản phẩm dịch vụ du lịch phong phú, hấp dẫn, an toàn, chất lượng cao và được du khách đánh giá cao qua phiếu đánh giá, bình chọn của khách hàng trên các trang điện tử dịch vụ lữ hành, du lịch uy tín (Booking, Agoda, TripAdvisor, Traveloka, iVivu…).",,3,,3
"□ Sản phẩm dịch vụ du lịch phong phú, hấp dẫn, an toàn, chất lượng cao, mang đặc sắc vùng miền và được du khách đánh giá cao qua phiếu đánh giá, bình chọn của khách hàng trên các trang điện tử dịch vụ lữ hành, du lịch uy tín (Booking, Agoda, TripAdvisor, Traveloka, iVivu...).",,3,,4
14. CHẤT LƯỢNG PHỤC VỤ,,1,,4
"□ Thái độ phục vụ thân thiện, nhanh nhẹn, chu đáo",,3,,1
"□ Thái độ phục vụ thân thiện, nhanh nhẹn, chu đáo, được du khách đánh giá cao",,3,,2
"□ Thái độ phục vụ thân thiện, nhanh nhẹn, chu đáo, được du khách đánh giá cao qua phiếu đánh giá, bình chọn của khách hàng trên các trang điện tử dịch vụ lữ hành, du lịch uy tín (Booking, Agoda, TripAdvisor, Traveloka, iVivu...).",,3,,4
15. TIỆN NGHI,Lựa chọn một trong hai trường hợp sau:,1,,3
a. Trường hợp 1: Cộng đồng dịch vụ du lịch,,2,,3
"□ Hạ tầng giao thông nội bộ thuận tiện, điện, nước sạch, khu vệ sinh, dịch vụ internet đầy đủ",,3,,1
"□ Hạ tầng giao thông nội bộ thuận tiện, điện, nước sạch, khu vệ sinh, dịch vụ internet đầy đủ, xã/thôn có các tiêu chí (giao thông, điện, nước, vệ sinh môi trường, vệ sinh ATTP) đạt chuẩn nông thôn mới.",,3,,3
b. Trường hợp 2: Điểm dịch vụ du lịch,,2,,3
"□ Có hệ thống điện, nước sạch, khu vệ sinh, dịch vụ internet đầy đủ",,3,,1
"□ Có hệ thống điện, nước sạch, khu vệ sinh, dịch vụ internet đầy đủ, đảm bảo chất lượng và khách đánh giá cao.",,3,,3
16. HOẠT ĐỘNG THU HÚT KHÁCH DU LỊCH,,1,,3
"□ Có cung cấp, tổ chức hoạt động trình diễn lễ, hội, văn hóa tại điểm dịch vụ du lịch",,3,,1
"□ Có cung cấp, tổ chức hoạt động trình diễn lễ hội, văn hóa tại điểm dịch vụ du lịch và mang tính cộng đồng ít nhất 2 lần/năm",,3,,2
"□ Có cung cấp, tổ chức hoạt động trình diễn lễ hội, văn hóa tại điểm dịch vụ du lịch và mang tính cộng đồng, đặc sắc văn hóa dân tộc, vùng miền ít nhất 2 lần/năm",,3,,3
"17. HÀNG HÓA DỊCH VỤ (ĂN UỐNG, ĐỒ LƯU NIỆM...)",,1,,2
"□ Hàng hóa dịch vụ có nguồn gốc rõ ràng, có tiêu chuẩn chất lượng phù hợp mang tính đặc sản địa phương",,3,,1
"□ Hàng hóa dịch vụ có nguồn gốc rõ ràng, có tiêu chuẩn chất lượng phù hợp mang tính đặc sản địa phương, và bảo đảm vệ sinh an toàn thực phẩm, có sản phẩm OCOP được bày, bán",,3,,2
