title,description,level,stars,score
"□ Sản phẩm được sản xuất ở nhiêu nơi trên địa bàn, là sản phẩm đặc trưng của tỉnh, có chất lượng nổi trội/sản phẩm mới được chế biến từ nguyên liệu đặc trưng của địa phương",,3,,3
"□ Sản phẩm là đặc sản, truyền thống, chỉ sản xuất trên địa bàn của huyện, có chất lượng đặc sắc, thương mại gắn với chỉ dẫn nguồn gốc địa lý/sản phẩm mới được chế biến từ nguyên liệu đặc trưng của địa phương, được thương mại ổn định ít nhất 36 tháng ****",,3,4,5
"b) Bao bì, ghi nhãn sản phẩm",,2,,4
"□ Bao bì đơn giản, thông tin ghi nhãn chưa đầy đủ",,3,,0
"□ Bao bì đơn giản, thông tin ghi nhãn đầy đủ",,3,,1
"□ Bao bì, nhãn hàng hóa đẹp, thể hiện được câu chuyện sản phẩm ****",,3,4,3
"□ Bao bì, nhãn hàng hóa đẹp, thể hiện được câu chuyện sản phẩm, có gắn truy xuất nguồn gốc điện tử*****",,3,5,4
3. SỨC MẠNH CỘNG ĐỒNG,,1,,12
a) Loại hình tổ chức sản xuất - kinh doanh,,2,,3
"□ Hộ gia đình có đăng ký kinh doanh, trang trại, tổ hợp tác (có giấy đăng ký kinh doanh của tổ trưởng), Công ty Trách nhiệm hữu hạn (TNHH) 1 thành viên, doanh nghiệp tư nhân (DNTN)",,3,,1
"□ Công ty TNHH hai thành viên trở lên, công ty cổ phần có vốn góp của cộng đồng địa phương < 51%",,3,,2
"□ HTX tổ chức, hoạt động theo Luật HTX 2012 hoặc công ty cổ phần có vốn góp của cộng đồng địa phương ≥ 51%",,3,,3
b) Đại diện pháp luật của chủ thể là nữ/đồng bào dân tộc thiểu số,,2,,1
□ Đại diện pháp luật của chủ thể không phải nữ/đồng bào dân tộc thiểu số,,3,,0
□ Đại diện pháp luật của chủ thể là nữ/đồng bào dân tộc thiểu số,,3,,1
c) Sử dụng lao động địa phương,,2,,3
□ Có sử dụng từ 50% đến 75% lao động là người trên địa bàn cấp huyện,,3,,1
□ Có sử dụng ≥ 75% lao động là người trên địa bàn cấp huyện,,3,,3
d) Tăng trưởng sản xuất kinh doanh,,2,,2
"□ Hợp tác xã xếp loại trung bình, các loại hình khác có lợi nhuận tăng trưởng dương so với năm trước liền kề",,3,,1
"□ Hợp tác xã xếp loại khá, các loại hình khác có 2 năm liên tiếp tăng trưởng dương về lợi nhuận****",,3,4,2
đ) Kế toán,,2,,1
□ Không có hoạt động kế toán theo quy định,,3,,0
□ Có tổ chức công tác kế toán theo quy định,,3,,1
e) Sở hữu trí tuệ****,,2,4,2
□ Nhãn hiệu sử dụng trên sản phẩm của chủ thể được cấp giấy chứng nhận đăng ký,,3,,1
"□ Nhãn hiệu sử dụng trên sản phẩm của chủ thể được cấp giấy chứng nhận đang ký; và sản phẩm có sử dụng dấu hiệu chỉ dẫn nguồn gốc địa lý gắn với cộng đồng địa phương (đối với những sản phẩm đã được bảo hộ chỉ dẫn địa lý, nhãn hiệu chứng nhận, nhãn hiệu tập thể thì bắt buộc phải sử dụng)",,3,,2
"Phần B
KHẢ NĂNG TIẾP THỊ (25 Điểm)",,0,,25
4. TIẾP THỊ,,1,,13
a) Khu vực phân phối chính,,2,,5
□ Thị trường trong huyện,,3,,1
"□ Thị trường ngoài huyện, có dưới 5 đại diện/đại lý phân phối",,3,,2
"□ Thị trường ngoài huyện, có ≥ 5 đại diện/đại lý phân phối",,3,,3
"□ Thị trường quốc tế (có hợp đồng); hoặc phân phối tại các kênh thương mại hiện đại: siêu thị, thương mại điện tử,... (có hợp đồng và vận hành ổn định ít nhất 6 tháng)",,3,,5
"b) Tổ chức phân phối
(Gồm: Tổ chức kinh doanh, phân phối sản phẩm)",,2,,4
□ Không có người chịu trách nhiệm quản lý phân phối,,3,,0
□ Có người chịu trách nhiệm quản lý phân phối,,3,,1
□ Có bộ phận/phòng quản lý phân phối,,3,,3
"□ Có bộ phận/phòng quản lý phân phối, có ứng dụng công nghệ thông tin trong quản lý",,3,,4
c) Quảng bá sản phẩm,,2,,4
□ Không có hoạt động quảng bá,,3,,0
□ Có một số hoạt động quảng bá,,3,,1
"□ Có nhiều hoạt động quảng bá, có website của cơ sở/quảng bá trên mạng xã hội, có tham gia hoạt động xúc tiến thương mại trong tỉnh",,3,,2
"□ Có nhiều hoạt động quảng bá, có website của cơ sở/quảng bá trên mạng xã hội, có tham gia hoạt động xúc tiến thương mại ngoài tỉnh",,3,,3
"□ Có nhiều hoạt động quảng bá, có website của cơ sở/quảng bá trên mạng xã hội hoạt động thường xuyên, có tham gia hoạt động xúc tiến thương mại ngoài tỉnh và quốc tế",,3,,4
5. CÂU CHUYỆN VỀ SẢN PHẨM,,1,,12
a) Câu chuyện về sản phẩm,,2,,5
"□ Không có câu chuyện, hoặc có nhưng không được tư liệu hóa",,3,,0
□ Có tài liệu giới thiệu về sản phẩm,,3,,1
"□ Có câu chuyện được tư liệu hóa (có cốt chuyện, nội dung cụ thể)",,3,,2
"□ Có câu chuyện được tư liệu hóa, trình bày trên nhãn/tờ rơi",,3,,3
"□ Có câu chuyện được tư liệu hóa, trình bày trên nhãn/tờ rơi và website",,3,,4
"□ Có câu chuyện được tư liệu hóa, trình bày trên nhãn/tờ rơi, website (dưới dạng hình ảnh, clip,...)",,3,,5
"b) Trí tuệ/bản sắc địa phương
Chỉ áp dụng khi có câu chuyện, đánh giá nội dung câu chuyện:",,2,,5
□ Giống với câu chuyện sản phẩm ở nơi khác,,3,,0
"□ Tương đối giống câu chuyện sản phẩm ở nơi khác, có thay đổi một số yếu tố",,3,,1
"□ Có câu chuyện riêng, gắn với nguồn gốc xuất xứ***",,3,3,3
"□ Có câu chuyện sản phẩm đặc sắc, mang sắc thái truyền thống, văn hóa và trí tuệ/bản sắc địa phương****",,3,4,5
c) Cấu trúc câu chuyện,,2,,2
□ Đơn giản,,3,,0
□ Có đầy đủ các yếu tố của câu chuyện sản phẩm,,3,,1
"□ Ngắn gọn, xúc tích và có các thông điệp đặc sắc về sản phẩm/văn hóa/trí tuệ/bản sắc địa phương*****",,3,5,2
"Phần C
CHẤT LƯỢNG SẢN PHẨM (35 Điểm)",,0,,35
6. CÁC CHỈ TIÊU,,1,,21
a) Mức độ tinh xảo/sắc nét của sản phẩm,,2,,5
"□ Không khéo léo/nhã nhặn, không thể bán được",,3,,0
"□ Khá khéo léo/nhã nhặn, có thể bán được",,3,,1
"□ Khéo léo/nhã nhặn, có thể bán được, có giá trị mỹ thuật, kỹ thuật",,3,,3
"□ Tinh xảo, có giá trị mỹ thuật, kỹ thuật, có thể bán được trong các cửa hàng lớn và xuất khẩu*****",,3,5,5
b) Thiết kế độc đáo,,2,,5
□ Phong cách thiết kế phổ biến,,3,,1
"□ Phong cách độc đáo riêng, nhưng là dạng thông thường",,3,,3
"□ Phong cách độc đáo riêng, thể hiện trí tuệ địa phương*****
Ghi chú: Nếu sản phẩm vi phạm sở hữu trí tuệ, sẽ bị loại bỏ",,3,5,5
"c) Các yếu tố tích hợp lên giá trị của sản phẩm
(Kiểu dáng, hoa văn hài hòa, cân đối, màu sắc đều, đẹp mắt; kết cấu cân đối, chắc chắn, bền vững; kích thước, tỷ lệ phù hợp;...)",,2,,3
□ Không thể hiện rõ nét về giá trị sản phẩm,,3,,0
"□ Giá trị sản phẩm được tích hợp hài hòa, phù hợp",,3,,1
"□ Giá trị sản phẩm được tích hợp hài hòa, phù hợp các yếu tố văn hóa, dân tộc",,3,,2
"□ Giá trị sản phẩm được tích hợp hài hòa, phù hợp các yếu tố văn hóa, dân tộc truyền thống, hình thành sản phẩm đặc trưng",,3,,3
"d) Các tính năng của sản phẩm
(Giá trị sử dụng của sản phẩm: Tranh ảnh trang trí; túi đựng mỹ phẩm; lắc tay;...)",,2,,3
□ Sản phẩm không có các tính năng cơ bản,,3,,0
□ Sản phẩm có đủ các tính năng cơ bản để bán ở thị trường địa phương,,3,,1
□ Sản phẩm có đủ các tính năng cơ bản để bán ở thị trường trong nước,,3,,2
□ Sản phẩm có đủ các tính năng cơ bản để xuất khẩu,,3,,3
đ) Chất lượng của nguyên liệu/thành phần,,2,,5
"□ Nguyên liệu/thành phần kém chất lượng, làm cho sản phẩm độc hại hoặc hủy hoại nguồn tài nguyên, bán có giới hạn hoặc không thể bán được trên thị trường",,3,,0
"□ Vật liệu/nguyên liệu xanh, thân thiện môi trường, có giá trị bảo tồn đa dạng sinh học, cải thiện sinh kế cho đồng bào dân tộc",,3,,3
"□ Vật liệu/nguyên liệu xanh, thân thiện môi trường, có giá trị bảo tồn đa dạng sinh học, cải thiện sinh kế cho đồng bào dân tộc, có chứng chỉ quản lý vùng nguyên liệu bền vững",,3,,5
"7. KIỂM TRA ĐỊNH KỲ CÁC CHỈ TIÊU ATTP VÀ AN TOÀN SẢN PHẨM THEO QUY ĐỊNH
(Phiếu kiểm nghiệm định kỳ các chỉ tiêu ATTP, an toàn sản phẩm, trường hợp không bắt buộc, thì đánh giá điểm tối đa)",,1,,4
"□ Có, nhưng không đạt",,3,,0
"□ Có, đạt nhưng không đủ",,3,,2
"□ Có, đạt đầy đủ (vi sinh, kim loại nặng, phụ gia, hóa chất không mong muốn,...) theo quy định",,3,,4
8. ĐẢM BẢO CHẤT LƯỢNG SẢN PHẨM,,1,,5
□ Không có hoạt động kiểm soát chất lượng sản phẩm,,3,,0
□ Có kế hoạch kiểm soát nội bộ chất lượng sản phẩm,,3,,1
□ Có kế hoạch kiểm soát nội bộ gắn với truy xuất nguồn gốc theo quy định***,,3,3,2
□ Có chứng nhận quản lý chất lượng tiên tiến (ISO/GMP/HACCP/...)****,,3,4,3
□ Có hồ sơ đủ điều kiện xuất khẩu và các thủ tục pháp lý khác theo yêu cầu của thị trường đích*****,,3,5,5
9. CƠ HỘI THỊ TRƯỜNG TOÀN CẦU,,1,,5
□ Có thể xuất khẩu đến thị trường khu vực Đông Nam Á,,3,,1
□ Có thể xuất khẩu các thị trường ngoài khu vực Đông Nam Á,,3,,3
"□ Có thể xuất khẩu đến các thị trường có tiêu chuẩn cao (Mỹ, Nhật, EU...)",,3,,5
