title,description,level,stars,score
"□ Sản phẩm được sản xuất ở nhiều nơi trên địa bàn, là sản phẩm đặc trưng của tỉnh, có chất lượng nổi trội/sản phẩm mới được chế biến từ nguyên liệu đặc trưng của địa phương",,3,,3
"□ Sản phẩm là đặc sản, truyền thống, chỉ sản xuất trên địa bàn của huyện, có chất lượng đặc sắc, thương mại gắn với chỉ dẫn nguồn gốc địa lý/sản phẩm mới được chế biến từ nguyên liệu đặc trưng của địa phương, được thương mại ổn định ít nhất 36 tháng ****",,3,4,5
"b) Bao bì, ghi nhãn sản phẩm",,2,,4
"□ Bao bì đơn giản, thông tin ghi nhãn chưa đầy đủ",,3,,0
"□ Bao bì đơn giản, thông tin ghi nhãn đầy đủ",,3,,1
"□ Bao bì, nhãn hàng hóa đẹp, thể hiện được câu chuyện sản phẩm ****",,3,4,3
"□ Bao bì, nhãn hàng hóa đẹp, thể hiện được câu chuyện sản phẩm, có gắn truy xuất nguồn gốc điện tử*****",,3,5,4
3. SỨC MẠNH CỘNG ĐỒNG,,1,,12
a) Loại hình tổ chức sản xuất - kinh doanh,,2,,3
"□ Hộ gia đình có đăng ký kinh doanh, trang trại, tổ hợp tác (có giấy đăng ký kinh doanh của tổ trưởng), Công ty Trách nhiệm hữu hạn (TNHH) 1 thành viên, doanh nghiệp tư nhân (DNTN)",,3,,1
"□ Công ty TNHH hai thành viên trở lên, công ty cổ phần có vốn góp của cộng đồng địa phương <51%",,3,,2
"□ HTX tổ chức, hoạt động theo Luật HTX 2012 hoặc công ty cổ phần có vốn góp của cộng đồng địa phương ≥51%",,3,,3
b) Đại diện pháp luật của chủ thể là nữ/đồng bào dân tộc thiểu số,,2,,1
□ Đại diện pháp luật của chủ thể không phải nữ/đồng bào dân tộc thiểu số,,3,,0
□ Đại diện pháp luật của chủ thể là nữ/đồng bào dân tộc thiểu số,,3,,1
c) Sử dụng lao động địa phương,,2,,3
□ Có sử dụng từ 50% đến 75% lao động là người trên địa bàn cấp huyện,,3,,1
□ Có sử dụng ≥ 75% lao động là người trên địa bàn cấp huyện,,3,,3
d) Tăng trưởng sản xuất kinh doanh,,2,,2
"□ Hợp tác xã xếp loại trung bình, các loại hình khác có lợi nhuận tăng trưởng dương so với năm trước liền kề",,3,,1
"□ Hợp tác xã xếp loại khá, các loại hình khác có 2 năm liên tiếp tăng trưởng dương về lợi nhuận****",,3,4,2
đ) Kế toán,,2,,1
□ Không có hoạt động kế toán theo quy định,,3,,0
□ Có tổ chức công tác kế toán theo quy định,,3,,1
e) Sở hữu trí tuệ****,,2,4,2
□ Nhãn hiệu sử dụng trên sản phẩm của chủ thể được cấp giấy chứng nhận đăng ký,,3,,1
"□ Nhãn hiệu sử dụng trên sản phẩm của chủ thể được cấp giấy chứng nhận đăng ký; và sản phẩm có sử dụng dấu hiệu chỉ dẫn nguồn gốc địa lý gắn với cộng đồng địa phương (đối với những sản phẩm đã được bảo hộ chỉ dẫn địa lý, nhãn hiệu chứng nhận, nhãn hiệu tập thể thì bắt buộc phải sử dụng)",,3,,2
"Phần B
KHẢ NĂNG TIẾP THỊ (25 Điểm)",,0,,25
4. TIẾP THỊ,,1,,13
a) Khu vực phân phối chính,,2,,5
□ Thị trường trong huyện,,3,,1
"□ Thị trường ngoài huyện, có dưới 5 đại diện/đại lý phân phối",,3,,2
"□ Thị trường ngoài huyện, có ≥ 5 đại diện/đại lý phân phối",,3,,3
□ Thị trường quốc tế (có hợp đồng); hoặc phân phối tại các kênh bán hàng online (có vận hành ổn định ít nhất 6 tháng),,3,,5
"b) Tổ chức phân phối
(Gồm: Tổ chức kinh doanh, phân phối sản phẩm)",,2,,4
□ Không có người chịu trách nhiệm quản lý phân phối,,3,,0
□ Có người chịu trách nhiệm quản lý phân phối,,3,,1
□ Có bộ phận/phòng quản lý phân phối,,3,,3
"□ Có bộ phận/phòng quản lý phân phối, có ứng dụng công nghệ thông tin trong quản lý",,3,,4
c) Quảng bá sản phẩm,,2,,4
□ Không có hoạt động quảng bá,,3,,0
□ Có một số hoạt động quảng bá,,3,,1
"□ Có nhiều hoạt động quảng bá, có website của cơ sở/quảng bá trên mạng xã hội, có tham gia hoạt động xúc tiến thương mại trong tỉnh",,3,,2
"□ Có nhiều hoạt động quảng bá, có website của cơ sở/quảng bá trên mạng xã hội, có tham gia hoạt động xúc tiến thương mại ngoài tỉnh",,3,,3
"□ Có nhiều hoạt động quảng bá, có website của cơ sở/quảng bá trên mạng xã hội hoạt động thường xuyên, có tham gia hoạt động xúc tiến thương mại ngoài tỉnh và quốc tế",,3,,4
5. CÂU CHUYỆN VỀ SẢN PHẨM,,1,,12
a) Câu chuyện về sản phẩm,,2,,5
"□ Không có câu chuyện, hoặc có nhưng không được tư liệu hóa",,3,,0
□ Có tài liệu giới thiệu về sản phẩm,,3,,1
"□ Có câu chuyện được tư liệu hóa (có cốt chuyện, nội dung cụ thể)",,3,,2
"□ Có câu chuyện được tư liệu hóa, trình bày trên nhãn/tờ rơi",,3,,3
"□ Có câu chuyện được tư liệu hóa, trình bày trên nhãn/tờ rơi và website",,3,,4
"□ Có câu chuyện được tư liệu hóa, trình bày trên nhãn/tờ rơi, website (dưới dạng hình ảnh, clip,...)",,3,,5
"b) Trí tuệ/bản sắc địa phương
Chỉ áp dụng khi có câu chuyện, đánh giá nội dung câu chuyện:",,2,,5
□ Giống với câu chuyện sản phẩm ở nơi khác,,3,,0
"□ Tương đối giống câu chuyện sản phẩm ở nơi khác, có thay đổi một số yếu tố",,3,,1
"□ Có câu chuyện riêng, gắn với nguồn gốc xuất xứ***",,3,3,3
"□ Có câu chuyện sản phẩm đặc sắc, mang sắc thái truyền thống, văn hóa và trí tuệ/bản sắc địa phương****",,3,4,5
c) Cấu trúc câu chuyện,,2,,2
□ Đơn giản,,3,,0
□ Có đầy đủ các yếu tố của câu chuyện sản phẩm,,3,,1
"□ Ngắn gọn, xúc tích và có các thông điệp đặc sắc về sản phẩm/văn hóa/trí tuệ/bản sắc địa phương*****",,3,5,2
"Phần C
CHẤT LƯỢNG SẢN PHẨM (35 Điểm)",,0,,35
6. CHẤT LƯỢNG SẢN PHẨM,,1,,13
"a) Kích thước, hình dạng bề ngoài",,2,,5
□ Không đồng đều,,3,,0
"□ Không đồng đều, chấp nhận được",,3,,1
□ Tương đối đồng đều,,3,,3
□ Đồng đều****,,3,4,5
b) Màu sắc,,2,,4
□ Chấp nhận được,,3,,0
□ Phù hợp với đặc tính sản phẩm,,3,,1
"□ Đẹp, bắt mắt so với đặc tính sản phẩm****",,3,4,2
"□ Rất đẹp, bắt mắt và ấn tượng so với đặc tính sản phẩm*****",,3,5,4
"c) Thiết kế sản phẩm (bao gói, chậu trồng,...)",,2,,4
"□ Thiết kế sản phẩm đơn giản, phổ biến",,3,,1
"□ Thiết kế đẹp, phù hợp với sản phẩm",,3,,2
"□ Thiết kế ấn tượng, sử dụng vật liệu thân thiện môi trường",,3,,4
"7. TÍNH ĐỘC ĐÁO
Chất lượng (màu sắc, mùi thơm,...): Có nét riêng, khác biệt, có dấu hiệu nhận biết rõ ràng so với sản phẩm khác, tiềm năng thành thương hiệu của địa phương",,1,,8
□ Trung bình,,3,,2
□ Tương đối độc đáo,,3,,4
"□ Độc đáo, mang tính đặc trưng****",,3,4,6
□ Rất độc đáo và có tính đặc trưng*****,,3,5,8
8. ĐẢM BẢO CHẤT LƯỢNG SẢN PHẨM,,1,,5
□ Không có hoạt động kiểm soát chất lượng sản phẩm,,3,,0
□ Có kế hoạch kiểm soát nội bộ chất lượng sản phẩm,,3,,1
□ Có kế hoạch kiểm soát nội bộ gắn với truy xuất nguồn gốc theo quy định***,,3,3,2
□ Có chứng nhận quản lý chất lượng theo tiêu chuẩn Việt Nam,,3,,3
"□ Có chứng nhận quản lý chất lượng theo tiêu chuẩn quốc tế, đủ điều kiện ATTP cho xuất khẩu *****",,3,5,5
9. HƯỚNG DẪN SỬ DỤNG ĐỂ ĐẢM BẢO SẢN PHẨM CÓ CHẤT LƯỢNG TỐT NHẤT CHO NGƯỜI TIÊU DÙNG,,1,,4
□ Có hướng dẫn sử dụng sản phẩm đơn giản,,3,,2
"□ Có hướng dẫn sử dụng chi tiết, cụ thể để kéo dài thời gian, duy trì chất lượng sản phẩm ****",,3,4,4
10. CƠ HỘI THỊ TRƯỜNG TOÀN CẦU,,1,,5
□ Có thể xuất khẩu đến thị trường khu vực Đông Nam Á,,3,,1
□ Có thể xuất khẩu các thị trường ngoài khu vực Đông Nam Á,,3,,3
"□ Có thể xuất khẩu đến các thị trường có tiêu chuẩn cao (Mỹ, Nhật, EU…)",,3,,5
